X,Y,Z,R,G,B
-0.09935062864038169,0.06109321108442058,0.3464768173251415,232,55,0
-0.09314027097513963,0.055443600790426706,0.314436285176889,228,50,0
-0.1025030520797556,0.059117565827523075,0.33527237629768475,231,53,0
-0.11638199927192432,0.06508520572944404,0.3691165439794743,235,59,0
-0.08642754225192578,0.04690238157926721,0.26599662394727064,223,42,0
0.04325941908725813,0.03558152981270785,0.2126268378867927,216,33,0
0.06210341437861125,0.05346502143701297,0.3194943698469526,228,49,0
0.060391388360175983,0.05452737979724862,0.3258427730783064,229,50,0
0.05977207738075931,0.056726516491826674,0.33898429577028305,230,52,0
0.054044313639888,0.05404431363988791,0.32295608354948663,228,50,0
0.054772616460942496,0.057870536562865116,0.34582069014299077,231,53,0
0.05306475500465488,0.05941743094782591,0.3550645664841811,232,54,0
0.049826986492146605,0.059329218727904434,0.3545374310438668,232,54,0
0.04274038653135911,0.05432701943658936,0.3246454667750338,228,50,0
0.03870374913151244,0.05274919186315053,0.31521674098845814,227,48,0
0.043432122217153805,0.0637908091956588,0.38119884436976764,235,58,0
0.0296913364622496,0.0472733158482883,0.2824941962347906,223,43,0
0.023679221386357474,0.050348878667140766,0.3008730349282645,225,46,0
0.02690072401612578,0.06437641325153318,0.38469827621852926,235,59,0
0.022820081008942096,0.06243636858738262,0.3731050264490898,234,57,0
0.018943879431230964,0.06048945888405265,0.3614707528231616,232,55,0
0.015358559013151222,0.05886591460878876,0.3517688347989603,231,53,0
0.01349298147064058,0.06465924882090064,0.3863884349349495,235,59,0
0.009785001991922837,0.06253160725578753,0.37367415028985995,234,57,0
0.006506535614519494,0.06237849302151215,0.3727591757049897,234,57,0
0.0035374179447867278,0.0678319830763215,0.40534794723630957,237,62,0
2.174132708941846e-17,0.059417138109843844,0.3550628165534033,232,54,0
-0.0033136396806395887,0.06354090872112841,0.37970549801941406,234,58,0
-0.006110635299350275,0.05858297625036194,0.35007806183934215,231,53,0
-0.008933009734050961,0.05708690266623347,0.34113787862873757,230,52,0
-0.008880584743431778,0.04255634233620501,0.2543066740133086,220,38,0
-0.09210117577804654,0.06181596482709833,0.36939763976682266,234,58,0
-0.08766589848366385,0.056725609808245106,0.3389788776428465,231,53,0
-0.0929180971221163,0.05803024320475463,0.3467750594023574,232,54,0
-0.0872427829888824,0.05264386164728901,0.3145873124380148,228,49,0
-0.08862543262392088,0.051721184935583225,0.3090736138243111,228,49,0
-0.09496076308792115,0.053647055673576034,0.32058216355091296,229,51,0
-0.09977325292206589,0.054611190413927896,0.32634360557481956,230,52,0
-0.10587970272488079,0.05619490568213731,0.3358075148379939,231,53,0
-0.10758699130035976,0.055410269171607116,0.3311187119393345,231,53,0
-0.11360194405044104,0.05681623324083717,0.3395204219219128,232,54,0
0.043911684701665586,0.034184561319195714,0.21583282580757346,216,33,0
0.07293395034545089,0.05942784512158306,0.3752126471502683,235,58,0
0.06299716631978772,0.053835234412032196,0.33990229281185375,230,52,0
